text,intent,urgency
Is cash on delivery available for the phone case?,Sales Inquiry,Low
Do you have a size chart for the cap?,Sales Inquiry,Low
"The blue sunglasses I received doesn't match what I ordered, please fix this.",Complaint,Medium
What material is the kurti made of?,Sales Inquiry,Low
This is the second time my order arrived late. Not happy with the service.,Complaint,Medium
Do you have a size exchange option for the phone case?,Support-Technical,Low
Get a free red backpack just by sharing this message with 5 friends!,Spam-Irrelevant,Medium
Packaging was a bit damaged but the panjabi itself is fine.,Complaint,Low
Is there a warranty on the phone case?,Support-Technical,Low
"CONGRATULATIONS!! You won a free backpack, click here to claim!!!",Spam-Irrelevant,Low
"ACT NOW!! You've been selected for a cash prize, reply immediately to claim!!!",Spam-Irrelevant,High
Can I get the pink sunglasses delivered within 3 days? It's for an occasion.,Sales Inquiry,Medium
"I need the sneakers before 2 weeks, is that possible?",Sales Inquiry,Medium
Is there a warranty on the sandals?,Support-Technical,Low
Packaging was a bit damaged but the earrings itself is fine.,Complaint,Low
Is express delivery available to Chittagong? I need it fairly soon.,Sales Inquiry,Medium
"Order #31916 tracking has been stuck for 3 days, I need an answer right now.",Support-Technical,High
"Order #42990 tracking has been stuck for this morning, I need an answer right now.",Support-Technical,High
Is there a warranty on the kurti?,Support-Technical,Low
"I need the cap before yesterday, is that possible?",Sales Inquiry,Medium
"Not totally happy with the beige shade, it looks different in person.",Complaint,Low
"Win a free backpack today, limited offer, message us back to claim!",Spam-Irrelevant,Medium
"Win a free t-shirt today, limited offer, message us back to claim!",Spam-Irrelevant,Medium
"Not totally happy with the red shade, it looks different in person.",Complaint,Low
Packaging was a bit damaged but the sneakers itself is fine.,Complaint,Low
"I'm ordering 10 pieces for a gift, can you confirm stock today?",Sales Inquiry,Medium
"We noticed you like caps! Get 90% off today only, limited stock!!",Spam-Irrelevant,Low
"Extremely disappointed, I messaged 5 days ago about my broken sandals and still no response!!",Complaint,High
"LAST CHANCE!! Claim your free sandals before midnight, limited slots!!!",Spam-Irrelevant,High
Last chance to order today — is the sunglasses in size 40 still available?? Need confirmation immediately.,Sales Inquiry,High
"This is unacceptable, order #56544 arrived completely damaged and no one is helping me. I want a refund right now.",Complaint,High
"Payment was deducted twice for order #23965, please fix this immediately.",Support-Technical,High
"I paid via bKash but haven't received confirmation, order #64505.",Support-Technical,Medium
"I can get you 10 followers for cheap, interested?",Spam-Irrelevant,Medium
Do you have this jacket in other colors?,Sales Inquiry,Low
"LAST CHANCE!! Claim your free wrist watch before midnight, limited slots!!!",Spam-Irrelevant,High
"Order #53383 tracking has been stuck for a week, I need an answer right now.",Support-Technical,High
Terrible service! My order #19351 never came and nobody is responding. I'm reporting this.,Complaint,High
"Order #95332 tracking has been stuck for 10 days, I need an answer right now.",Support-Technical,High
Last chance to order today — is the perfume in size XL still available?? Need confirmation immediately.,Sales Inquiry,High
"I ordered size 42 but received a different size, please help sort this out.",Complaint,Medium
Special offer just for Dhaka residents — reply to know more!,Spam-Irrelevant,Medium
"I can get you 50 followers for cheap, interested?",Spam-Irrelevant,Medium
Get a free olive perfume just by sharing this message with 5 friends!,Spam-Irrelevant,Medium
"We noticed you like dresss! Get 90% off today only, limited stock!!",Spam-Irrelevant,Low
"Can you hold the navy phone case for me, I'll pay within 10 days?",Sales Inquiry,Medium
"I paid for order #10887 but it got cancelled on your end without any explanation, please fix this urgently.",Support-Technical,High
"The wallet has a small defect, I'd like a replacement please.",Complaint,Medium
"The blue t-shirt I received doesn't match what I ordered, please fix this.",Complaint,Medium
Is there a warranty on the sunglasses?,Support-Technical,Low
"Not totally happy with the black shade, it looks different in person.",Complaint,Low
"HURRY!! Only 20 free navy dresss left, claim yours before they're gone!!!",Spam-Irrelevant,High
"I paid for order #43913 but it got cancelled on your end without any explanation, please fix this urgently.",Support-Technical,High
"The backpack I got is a bit different from the picture, a little disappointed.",Complaint,Low
"I need to order right now before the offer ends, is the dress still in stock??",Sales Inquiry,High
"The phone case I got is a bit different from the picture, a little disappointed.",Complaint,Low
"My order #63591 still shows pending after yesterday, can you check?",Support-Technical,Medium
"Win a free panjabi today, limited offer, message us back to claim!",Spam-Irrelevant,Medium
"I need the wallet before yesterday, is that possible?",Sales Inquiry,Medium
Terrible service! My order #11276 never came and nobody is responding. I'm reporting this.,Complaint,High
"Order #12853 shows delivered but I haven't received it, can you check with the courier?",Support-Technical,Medium
"Can you hold the pink wallet for me, I'll pay within this morning?",Sales Inquiry,Medium
"HURRY!! Only 15 free beige handbags left, claim yours before they're gone!!!",Spam-Irrelevant,High
"Extremely disappointed, I messaged 10 days ago about my broken panjabi and still no response!!",Complaint,High
Do you have a size exchange option for the sandals?,Support-Technical,Low
Special offer just for Rangpur residents — reply to know more!,Spam-Irrelevant,Medium
"CONGRATULATIONS!! You won a free jacket, click here to claim!!!",Spam-Irrelevant,Low
My order #83822 was supposed to arrive 2 hours ago and there's still no update. I need this resolved today.,Support-Technical,High
Get a free maroon panjabi just by sharing this message with 5 friends!,Spam-Irrelevant,Medium
"The handbag I got is a bit different from the picture, a little disappointed.",Complaint,Low
Which courier do you use for delivery to Cumilla?,Support-Technical,Low
"I want to place a reseller order of 15 pieces, please reply when you can.",Sales Inquiry,Medium
Can I get the black earrings delivered within 10 days? It's for an occasion.,Sales Inquiry,Medium
This is the third time my order hasn't arrived. I want a refund NOW.,Complaint,High
Is this the number for the Rajshahi branch?,Spam-Irrelevant,Low
"Extremely disappointed, I messaged 2 weeks ago about my broken handbag and still no response!!",Complaint,High
Do you have a physical store in Rajshahi?,Support-Technical,Low
"I paid for order #74178 but it got cancelled on your end without any explanation, please fix this urgently.",Support-Technical,High
Is this the number for the Cumilla branch?,Spam-Irrelevant,Low
"I think I entered the wrong address for order #45187, can this still be corrected?",Support-Technical,Medium
"Can someone reply fast, I need to know if the navy cap is available RIGHT NOW to place the order.",Sales Inquiry,High
Last chance to order today — is the sneakers in size M still available?? Need confirmation immediately.,Sales Inquiry,High
Get a free beige sunglasses just by sharing this message with 5 friends!,Spam-Irrelevant,Medium
What's the price of the handbag?,Sales Inquiry,Low
"I need the wallet before 5 days, is that possible?",Sales Inquiry,Medium
"HURRY!! Only 30 free maroon sunglassess left, claim yours before they're gone!!!",Spam-Irrelevant,High
"HURRY!! Only 50 free white caps left, claim yours before they're gone!!!",Spam-Irrelevant,High
Is this the number for the Rangpur branch?,Spam-Irrelevant,Low
Is there a warranty on the jacket?,Support-Technical,Low
Last chance to order today — is the hoodie in size 40 still available?? Need confirmation immediately.,Sales Inquiry,High
Do you have a physical store in Dhaka?,Support-Technical,Low
"I paid for order #60965 but it got cancelled on your end without any explanation, please fix this urgently.",Support-Technical,High
Do you offer any discount for bulk orders of 20+ pieces? Planning to order this week.,Sales Inquiry,Medium
Can you confirm if order #29558 has shipped yet? It's been 10 days.,Support-Technical,Medium
"I ordered size L but received a different size, please help sort this out.",Complaint,Medium
"The sneakers has a small defect, I'd like a replacement please.",Complaint,Medium
"Hi, do you have the white phone case in size S?",Sales Inquiry,Low
"CONGRATULATIONS!! You won a free cap, click here to claim!!!",Spam-Irrelevant,Low
Do you have this cap in other colors?,Sales Inquiry,Low
Get a free beige panjabi just by sharing this message with 5 friends!,Spam-Irrelevant,Medium
Can you confirm if order #98276 has shipped yet? It's been 2 weeks.,Support-Technical,Medium
